date,home_team,away_team,home_score,away_score,status,game_id
2025-08-29,Huntingdon,Warren Wilson,3,3,FINAL,6478133
2025-08-29,Colby-Sawyer,Wentworth,5,5,FINAL,6477503
2025-08-29,UMass Boston,Salve Regina,0,0,FINAL,6496226
2025-08-29,Swarthmore,Yeshiva,4,0,FINAL,6477273
2025-08-29,Mount Aloysius,Concordia Wisconsin,4,1,FINAL,6496201
2025-08-29,Saint John's (MN),Neb. Wesleyan,1,1,FINAL,6474970
2025-08-29,Stevenson,Moravian,2,3,FINAL,6475448
2025-08-29,Rensselaer,Emerson,1,1,FINAL,6478211
2025-08-29,Rutgers-Camden,St. John Fisher,4,0,FINAL,6496254
2025-08-29,Babson,Occidental,2,1,FINAL,6474802
2025-08-29,William Peace,Piedmont,4,1,FINAL,6475135
2025-08-29,St. Olaf,Pacific Lutheran,4,1,FINAL,6475215
2025-08-29,Salisbury,York (PA),1,1,FINAL,6477236
2025-08-29,Ramapo,Penn St.-Abington,2,0,FINAL,6477387
2025-08-29,Penn College,Centenary (NJ),3,0,FINAL,6495947
2025-08-29,SUNY Maritime,Brooklyn,4,1,FINAL,6496207
2025-08-29,Gustavus Adolphus,UChicago,2,1,FINAL,6496217
2025-08-29,St. Joseph's (Brkln),Hartford,1,4,FINAL,6496236
2025-08-29,Rhodes,Johns Hopkins,0,3,FINAL,6476438
2025-08-29,St. Scholastica,Loras,0,0,FINAL,6477927
2025-08-29,Oglethorpe,Covenant,1,2,FINAL,6475407
2025-08-29,Penn St. Harrisburg,Fredonia,1,0,FINAL,6475569
2025-08-29,Worcester St.,WPI,0,2,FINAL,6475893
2025-08-29,NYU,Rowan,3,4,FINAL,6476383
2025-08-29,Pitt.-Greensburg,Thiel,2,0,FINAL,6478449
2025-08-29,Manhattanville,Plattsburgh St.,0,2,FINAL,6496231
2025-08-29,UMass Dartmouth,Curry,5,1,FINAL,6496238
2025-08-29,Baruch,Old Westbury,1,3,FINAL,6496035
2025-08-29,Roger Williams,Clark (MA),2,0,FINAL,6496272
2025-08-29,Randolph-Macon,N.C. Wesleyan,1,0,FINAL,6473091
2025-08-29,Penn St.-Altoona,McDaniel,0,3,FINAL,6475661
2025-08-29,SUNY Canton,Bard,2,3,FINAL,6475768
2025-08-29,New England Col.,Plymouth St.,2,0,FINAL,6475846
2025-08-29,SUNY Potsdam,Mt. St. Mary (NY),2,1,FINAL,6475961
2025-08-29,SUNY Morrisville,Keuka,1,0,FINAL,6476139
2025-08-29,MIT,Western New Eng.,2,0,FINAL,6476514
2025-08-29,Haverford,Arcadia,2,2,FINAL,6476700
2025-08-29,Gwynedd Mercy,DeSales,0,4,FINAL,6477595
2025-08-29,SUNY Cobleskill,Pratt,2,1,FINAL,6478099
2025-08-29,Wis.-Superior,Luther,0,1,FINAL,6496168
2025-08-29,Penn St.-Behrend,Allegheny,1,1,FINAL,6496241
2025-08-29,Washington Col.,Roanoke,1,2,FINAL,6496242
2025-08-29,Elms,Fitchburg St.,2,1,FINAL,6496244
2025-08-29,Penn St.-Berks,Albright,0,3,FINAL,6496249
2025-08-29,St. Mary's (MD),Ursinus,2,1,FINAL,6496252
2025-08-29,Widener,Gettysburg,0,5,FINAL,6496255
2025-08-29,King's (PA),Utica,1,0,FINAL,6496270
2025-08-29,MCLA,Norwich,0,1,FINAL,6496271
2025-08-29,Guilford,Pfeiffer,1,2,FINAL,6496299
2025-08-29,St. Lawrence,SUNY Geneseo,0,3,FINAL,6475350
2025-08-29,Mary Baldwin,Bridgewater (VA),0,2,FINAL,6477807
