date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2026-09-01,UMass Boston,Smith,0,0,FINAL,6615416,False
2026-09-01,Clarkson,St. John Fisher,2,4,FINAL,6612068,False
2026-09-01,St. Joseph's (L.I.),Eastern Conn. St.,1,5,FINAL,6612464,False
2026-09-01,St. Olaf,Wartburg,1,1,FINAL,6612416,False
2026-09-01,Babson,NYU,0,1,FINAL,6613597,False
2026-09-01,Carroll (WI),Wis.-La Crosse,0,1,FINAL,6613792,False
2026-09-01,William Smith,Emmanuel (MA),4,0,FINAL,6614273,False
2026-09-01,Concordia Chicago,Wis.-Whitewater,0,4,FINAL,6612683,False
2026-09-01,Trine,Hanover,3,2,FINAL,6612739,False
2026-09-01,Westminster (MO),Rhodes,0,2,FINAL,6613015,False
2026-09-01,WPI,Union (NY),0,1,FINAL,6614217,False
2026-09-01,Mitchell,Salve Regina,0,20,FINAL,6615077,False
2026-09-01,Suffolk,Rensselaer,1,1,FINAL,6638376,False
2026-09-01,Concordia-M'head,Minn.-Morris,6,2,FINAL,6612333,False
2026-09-01,Albertus Magnus,Nichols,3,0,FINAL,6612568,False
2026-09-01,Me.-Farmington,Southern Me.,0,4,FINAL,6612833,False
2026-09-01,Cortland,St. Lawrence,1,0,FINAL,6612962,False
2026-09-01,Pitt.-Greensburg,Saint Vincent,2,1,FINAL,6613355,False
2026-09-01,Saint Joseph (CT),Roger Williams,0,7,FINAL,6613471,False
2026-09-01,Elms,SUNY Delhi,4,1,FINAL,6613508,False
2026-09-01,Shenandoah,Marymount (VA),3,0,FINAL,6613613,False
2026-09-01,Delaware Valley,Cairn,1,0,FINAL,6613661,False
2026-09-01,Mary Baldwin,Bridgewater (VA),1,6,FINAL,6614059,False
2026-09-01,Russell Sage,SUNY Potsdam,2,0,FINAL,6614526,False
2026-09-01,Washington Col.,Salisbury,3,2,FINAL,6614574,False
2026-09-01,Notre Dame (MD),Widener,1,3,FINAL,6614898,False
2026-09-01,Westfield St.,WestConn,1,2,FINAL,6614943,False
2026-09-01,Saint Francis,Carnegie Mellon,0,9,FINAL,6614944,False
2026-09-01,Oswego St.,SUNY Brockport,0,3,FINAL,6615017,False
2026-09-01,Utica,Ithaca,1,3,FINAL,6615251,False
2026-09-01,SUNY Canton,SUNY Poly,3,3,FINAL,6615375,False
2026-09-01,RIT,SUNY Geneseo,0,0,FINAL,6638635,False
2026-09-01,Franklin & Marshall,Elizabethtown,1,1,FINAL,6612918,False
2026-09-01,Stevenson,Rutgers-Camden,1,2,FINAL,6615210,False
2026-09-01,Concordia Wisconsin,Lawrence,1,4,FINAL,6611933,False
2026-09-01,UChicago,Kalamazoo,4,1,FINAL,6612117,False
2026-09-01,Heidelberg,Adrian,1,3,FINAL,6612652,False
2026-09-01,Chris. Newport,Methodist,1,0,FINAL,6613116,False
2026-09-01,CWRU,John Carroll,2,1,FINAL,6613299,False
2026-09-01,Moravian,Lebanon Valley,2,1,FINAL,6613537,False
2026-09-01,Haverford,Penn St.-Abington,7,0,FINAL,6614567,False
2026-09-01,Augustana (IL),Marian (WI),0,0,FINAL,6614803,False
2026-09-01,Grinnell,Dubuque,0,1,FINAL,6613656,False
2026-09-01,Saint Benedict,Wis.-Eau Claire,3,1,FINAL,6613757,False
2026-09-01,Nazareth,Fredonia,3,1,FINAL,6613821,False
2026-09-01,Lake Forest,MSOE,3,1,FINAL,6614679,False
2026-09-01,East. Mennonite,Greensboro,0,0,FINAL,6612012,False
2026-09-01,Elmhurst,Beloit,2,0,FINAL,6612196,False
2026-09-01,Gustavus Adolphus,UW-River Falls,1,2,FINAL,6612265,False
2026-09-01,Westminster (PA),Oberlin,0,0,FINAL,6612273,False
2026-09-01,Buena Vista,Martin Luther,0,0,FINAL,6612297,False
2026-09-01,Spalding,Anderson (IN),1,0,FINAL,6612668,False
2026-09-01,Plattsburgh St.,VTSU Castleton,4,1,FINAL,6612942,False
2026-09-01,Randolph,Meredith,1,1,FINAL,6613087,False
2026-09-01,Averett,Pfeiffer,0,5,FINAL,6613432,False
2026-09-01,Montclair St.,Penn St.-Berks,7,1,FINAL,6613440,False
2026-09-01,Emerson,Keene St.,2,0,FINAL,6613535,False
2026-09-01,Central (IA),Illinois Col.,4,0,FINAL,6613975,False
2026-09-01,Simpson,Ill. Wesleyan,1,1,FINAL,6614232,False
2026-09-01,Coe,Hamline,0,1,FINAL,6614277,False
2026-09-01,Gwynedd Mercy,Wilson,1,0,FINAL,6614608,False
2026-09-01,Berry,LaGrange,6,0,FINAL,6614644,False
2026-09-01,Wis.-Stevens Point,St. Catherine,1,0,FINAL,6614689,False
2026-09-01,Hartwick,SUNY Oneonta,2,2,FINAL,6614946,False
2026-09-01,U New England,St. Joseph's (ME),4,0,FINAL,6614973,False
2026-09-01,Carthage,Edgewood,1,0,FINAL,6615030,False
2026-09-01,SUNY Maritime,Pratt,2,6,FINAL,6639818,False
2026-09-01,Allegheny,Baldwin Wallace,0,1,FINAL,6611951,False
2026-09-01,Pomona-Pitzer,Redlands,4,0,FINAL,6612132,False
2026-09-01,Wilmington (OH),Earlham,4,0,FINAL,6612214,False
2026-09-01,Penn St.-Behrend,Grove City,4,4,FINAL,6612375,False
2026-09-01,Alfred St.,Alfred,2,2,FINAL,6612434,False
2026-09-01,Salem St.,Rhode Island Col.,0,2,FINAL,6612480,False
2026-09-01,Penn St. Harrisburg,Messiah,1,1,FINAL,6612524,False
2026-09-01,King's (PA),Wilkes,0,1,FINAL,6612562,False
2026-09-01,Simmons,Wellesley,0,0,FINAL,6612610,False
2026-09-01,Otterbein,Franciscan,1,5,FINAL,6612638,False
2026-09-01,Dickinson,Juniata,5,0,FINAL,6612699,False
2026-09-01,Sarah Lawrence,Yeshiva,11,0,FINAL,6612776,False
2026-09-01,Johns Hopkins,Catholic,1,0,FINAL,6612866,False
2026-09-01,Capital,Denison,2,1,FINAL,6612931,False
2026-09-01,Hiram,Bluffton,0,1,FINAL,6613063,False
2026-09-01,Norwich,VTSU-Johnson,2,0,FINAL,6613091,False
2026-09-01,Mt. St. Mary (NY),Vassar,0,5,FINAL,6613181,False
2026-09-01,Millsaps,Huntingdon,4,3,FINAL,6613248,False
2026-09-01,Penn St.-Altoona,Marywood,0,5,FINAL,6613275,False
2026-09-01,Clark (MA),Brandeis,4,1,FINAL,6613326,False
2026-09-01,Wis.-Platteville,Saint Mary's (MN),0,1,FINAL,6613401,False
2026-09-01,DePauw,Manchester,7,0,FINAL,6613498,False
2026-09-01,Randolph-Macon,Mary Washington,0,2,FINAL,6613509,False
2026-09-01,Mount Union,Waynesburg,1,0,FINAL,6613536,False
2026-09-01,Geneva,Muskingum,3,2,FINAL,6613654,False
2026-09-01,Rochester (NY),Houghton,3,0,FINAL,6613752,False
2026-09-01,Wentworth,Lesley,3,0,FINAL,6613763,False
2026-09-01,Marietta,Wash. & Jeff.,2,0,FINAL,6614146,False
2026-09-01,Lancaster Bible,Neumann,1,0,FINAL,6614194,False
2026-09-01,Olivet,Franklin,0,6,FINAL,6614208,False
2026-09-01,St. Mary's (MD),Hood,2,1,FINAL,6614252,False
2026-09-01,SUNY Morrisville,Keuka,0,4,FINAL,6614302,False
2026-09-01,Thomas (ME),Plymouth St.,0,1,FINAL,6614491,False
2026-09-01,Arcadia,Alvernia,7,0,FINAL,6614544,False
