date,home_team,away_team,home_score,away_score,status,game_id
2025-09-05,Meredith,Maryville (TN),2,3,FINAL,6492545
2025-09-05,Carleton,Simpson,1,3,FINAL,6491680
2025-09-05,Mary Hardin-Baylor,Concordia (TX),3,1,FINAL,6491892
2025-09-05,Carleton,Neb. Wesleyan,1,3,FINAL,6492912
2025-09-05,Dallas,Carroll (WI),1,3,FINAL,6493045
2025-09-05,Huntingdon,LaGrange,3,0,FINAL,6495910
2025-09-05,Trinity (TX),Wm. Paterson,3,1,FINAL,6493608
2025-09-05,Puget Sound,Texas Lutheran,3,0,FINAL,6488446
2025-09-05,Methodist,Hollins,3,1,FINAL,6489071
2025-09-05,Randolph,Salem (NC),1,3,FINAL,6492668
2025-09-05,Chapman,Whitman,3,1,FINAL,6492711
2025-09-05,Gordon,Oglethorpe,3,0,FINAL,6496022
2025-09-05,Marymount (VA),Shenandoah,1,3,FINAL,6492116
2025-09-05,Grove City,Wooster,3,1,FINAL,6488874
2025-09-05,Oberlin,Grove City,0,3,FINAL,6490478
2025-09-05,UW-River Falls,Simpson,3,1,FINAL,6490800
2025-09-05,Belhaven,Mary Hardin-Baylor,0,3,FINAL,6491894
2025-09-05,Clarkson,Plattsburgh St.,3,0,FINAL,6488394
2025-09-05,Wis.-Oshkosh,WashU,3,1,FINAL,6488495
2025-09-05,St. Thomas (TX),Millsaps,3,2,FINAL,6488798
2025-09-05,Hollins,Brevard,1,3,FINAL,6489072
2025-09-05,Capital,Allegheny,3,0,FINAL,6489095
2025-09-05,Chris. Newport,Bridgewater (VA),2,3,FINAL,6489448
2025-09-05,Cedar Crest,Widener,0,3,FINAL,6490225
2025-09-05,Penn St.-Behrend,Geneva,3,0,FINAL,6490350
2025-09-05,Otterbein,Centre,3,0,FINAL,6491969
2025-09-05,Oglethorpe,Va. Wesleyan,0,3,FINAL,6492129
2025-09-05,N.C. Wesleyan,Randolph,3,2,FINAL,6492669
2025-09-05,Huntingdon,Piedmont,3,1,FINAL,6496041
2025-09-05,Alfred,Hamilton,1,3,FINAL,6488565
2025-09-05,Augsburg,Wis.-La Crosse,3,1,FINAL,6490121
2025-09-05,Gustavus Adolphus,Minn.-Morris,3,0,FINAL,6493663
2025-09-05,UMass Boston,Salem St.,3,1,FINAL,6489024
2025-09-05,Wilmington (OH),Franklin,0,3,FINAL,6489512
2025-09-05,Hardin-Simmons,UMass Dartmouth,3,0,FINAL,6489666
2025-09-05,Wesleyan (CT),Wheaton (MA),3,0,FINAL,6489835
2025-09-05,Nazareth,Shenandoah,1,3,FINAL,6492117
2025-09-05,East Tex. Baptist,Dallas,3,0,FINAL,6492507
2025-09-05,Austin,Webster,1,3,FINAL,6492620
2025-09-05,Whittier,Whitman,3,0,FINAL,6492837
2025-09-05,Rhodes,Lyon,3,0,FINAL,6492870
2025-09-05,Adrian,Wooster,3,0,FINAL,6493237
2025-09-05,Bethel (MN),North Park,0,3,FINAL,6493549
2025-09-05,Linfield,Cal Lutheran,1,3,FINAL,6493749
2025-09-05,Ill. Wesleyan,Texas Lutheran,3,0,FINAL,6488447
2025-09-05,Salisbury,Tufts,3,1,FINAL,6491730
2025-09-05,Southern Va.,St. Mary's (MD),1,3,FINAL,6493776
2025-09-05,Wis.-Whitewater,Concordia Wisconsin,3,0,FINAL,6488352
2025-09-05,Plattsburgh St.,St. John Fisher,0,3,FINAL,6488395
2025-09-05,St. Lawrence,Middlebury,0,3,FINAL,6488484
2025-09-05,Allegheny,Hanover,3,2,FINAL,6488598
2025-09-05,LaGrange,Millsaps,0,3,FINAL,6488809
2025-09-05,Anderson (IN),Knox,3,0,FINAL,6488901
2025-09-05,Averett,Maryville (TN),1,3,FINAL,6489119
2025-09-05,Smith,Dean,3,0,FINAL,6489439
2025-09-05,Bluffton,Thiel,1,3,FINAL,6489463
2025-09-05,Pomona-Pitzer,Whitworth,0,3,FINAL,6489894
2025-09-05,Skidmore,Nichols,3,0,FINAL,6490012
2025-09-05,Fredonia,Geneva,3,1,FINAL,6490355
2025-09-05,Penn College,Alfred St.,0,3,FINAL,6490404
2025-09-05,Roanoke,Methodist,3,1,FINAL,6490461
2025-09-05,Wartburg,Wis.-Superior,3,0,FINAL,6490584
2025-09-05,CWRU,Heidelberg,1,3,FINAL,6490652
2025-09-05,Centre,Stevenson,3,0,FINAL,6490837
2025-09-05,Hilbert,Manhattanville,0,3,FINAL,6490955
2025-09-05,Oswego St.,Western New Eng.,3,1,FINAL,6491594
2025-09-05,LeTourneau,Sewanee,3,1,FINAL,6491884
2025-09-05,DeSales,Ursinus,3,0,FINAL,6491946
2025-09-05,Greenville,Trine,3,0,FINAL,6491960
2025-09-05,SUNY Brockport,Manhattanville,1,3,FINAL,6491965
2025-09-05,Gordon,William Peace,3,2,FINAL,6492145
2025-09-05,Wis. Lutheran,Monmouth (IL),2,3,FINAL,6492677
2025-09-05,Haverford,Springfield,3,2,FINAL,6492779
2025-09-05,Ohio Wesleyan,Albion,1,3,FINAL,6492883
2025-09-05,Baldwin Wallace,John Carroll,0,3,FINAL,6493023
2025-09-05,Dominican (IL),Muskingum,0,3,FINAL,6495730
2025-09-05,Illinois Col.,Loras,3,2,FINAL,6495809
2025-09-05,Dubuque,St. Olaf,3,2,FINAL,6490306
2025-09-05,Claremont-M-S,Emory,2,3,FINAL,6490874
2025-09-05,Illinois Tech,Lawrence,2,3,FINAL,6493746
2025-09-05,Buena Vista,Wheaton (IL),0,3,FINAL,6488743
2025-09-05,Connecticut Col.,Suffolk,3,1,FINAL,6489347
2025-09-05,William Smith,Buffalo St.,3,0,FINAL,6489389
2025-09-05,New England Col.,Husson,3,0,FINAL,6489410
2025-09-05,MSOE,Maranatha Baptist,3,0,FINAL,6489507
2025-09-05,Wilmington (OH),Alma,2,3,FINAL,6489514
2025-09-05,Roger Williams,Simmons,3,0,FINAL,6489579
2025-09-05,Colby-Sawyer,UMass Dartmouth,0,3,FINAL,6489672
2025-09-05,Denison,Hope,3,2,FINAL,6489691
2025-09-05,Union (NY),Russell Sage,3,0,FINAL,6489975
2025-09-05,Cortland,Hartwick,3,0,FINAL,6490576
2025-09-05,Ohio Northern,Westminster (MO),2,3,FINAL,6491416
